34,male,2,20000,natural,kharghar,ruins of hampi karnataka,5,ruins_of_hampi_karnataka.jpg,1
25,male,2,35000,fort ,andheri,matheran,4.5,matheran.jpg,1
40,female,3,10000,fort,nasik,kullu manali,5,kullumanali.jpg,1
56,female,1,24000,luxury,delhi,kashmir,5,kashmir.jpg,2
60,female,3,23500,natural,kurla,amritsar golden temple,4,amritsar_golden_temple.jpg,2
26,male ,2,12500,natural,kalyan,panging lake ladakh,4.5,panginglakeladakh.jpg,3
30,female,4,13000,luxury,ghatkopar,valley of flowers nanital,3.5,valley_of_flowers_nanital.jpg,3
35,female,2,21000,luxury,delhi,gate way of India mumbai,3.5,gatewayofIndiamumbai.jpg,4
27,male,3,20000,fort,nasik,india gate delhi,4,indiagatedelhi.jpg,4
47,male,2,40000,luxury,pune,Lotus temple delhi,5,Lotustempledelhi.jpg,5
38,female,2,43000,natural,indore,hawa Mahal jaipur,3.5,hawaMahaljaipur.jpg,5
29,female,3,32000,natural,pune,gujrat statue of unity,5,gujratstatueofunity.jpg,5
66,male,4,15000,luxury,nagpur,Ajanta caves aurangabad,4,Ajantacavesaurangabad.jpg,6
34,female,2,22000,fort,jalgaon,Sinhgad fort pune,4.5,Sinhgadfortpune.jpg,6
35,female,3,32000,natural,aurangabad,Calangute beach goa,3,Calangutebeachgoa.jpg,6
46,male,2,33000,fort,wardha,tajmahal agra,4.5,tajmahalagra.jpg,6
37,male,2,43000,natural,nagpur,Red fort delhi,5,Red_fort_delhi.jpg,6
27,male,1,12000,luxury,nanded,elephanta caves mumbai,4.5,elephanta_caves_mumbai.jpg,7
29,female,1,32000,luxury,dhule,Shaniwar wada pune,4.5,Shaniwarwadapune.jpg,7
26,male,1,44000,fort,pandharpur,ambazari lake nagpur,5,ambazarilakenagpur.jpg,7
37,male,4,50000,natural,manmad,qutub minar delhi,5,qutubminardelhi.jpg,8
42,female,3,54000,natural,patna,tadoba andhari national park chandrapur,4.5,tadobaandharinationalpar chandrapur.jpg,8
64,male,1,60000,natural,thane,humanyu's temple,4.5,humanyustemple.jpg,8
54,female,1,42000,natural,shegaon,kalaram temple nasik,5,kalaramtemplenasik.jpg,8
35,male,1,43000,natural,amritsar,Basilica of bom Jesus goa,3.5,BasilicaofbomJesusgoa.jpg,8
